GeneSymbol_input,STRING_id,GeneSymbol_STRING
Mthfd2,10116.ENSRNOP00000014603,Mthfd2
Rpf2,10116.ENSRNOP00000000717,Rpf2
Lif,10116.ENSRNOP00000009313,Lif
RT1-M6-2,10116.ENSRNOP00000048119,RT1-M6-2
Ywhag,10116.ENSRNOP00000069671,Ywhag
Rpp38,10116.ENSRNOP00000054664,Rpp38
Medag,10116.ENSRNOP00000001205,Medag
Smap2,10116.ENSRNOP00000015250,Smap2
Ppp1r13l,10116.ENSRNOP00000050977,Ppp1r13l
Upp1,10116.ENSRNOP00000006765,Upp1
Irf6,10116.ENSRNOP00000007333,Irf6
Eif1,10116.ENSRNOP00000041459,Eif1
Itgb6,10116.ENSRNOP00000074271,Itgb6
Birc3,10116.ENSRNOP00000007702,Birc3
Ppp1r12a,10116.ENSRNOP00000069900,Ppp1r12a
Mical2,10116.ENSRNOP00000074877,Mical2
Sertad2,10116.ENSRNOP00000007162,Sertad2
Lrrc32,10116.ENSRNOP00000020520,Lrrc32
B4galt5,10116.ENSRNOP00000072676,B4galt5
Baz1a,10116.ENSRNOP00000009080,Baz1a
Pgs1,10116.ENSRNOP00000004007,Pgs1
Spred3,10116.ENSRNOP00000072614,Spred3
Angptl4,10116.ENSRNOP00000010031,Angptl4
Eif2s2,10116.ENSRNOP00000023786,Eif2s2
Micall2,10116.ENSRNOP00000031199,Micall2
Litaf,10116.ENSRNOP00000003412,Litaf
Vgll3,10116.ENSRNOP00000051348,Vgll3
Map7d1,10116.ENSRNOP00000061878,Map7d1
Cttnbp2nl,10116.ENSRNOP00000019680,Cttnbp2nl
Tpm1,10116.ENSRNOP00000074187,Tpm1
Atf4,10116.ENSRNOP00000060302,Atf4
Prkar1b,10116.ENSRNOP00000033202,Prkar1b
Trmt61a,10116.ENSRNOP00000071623,Trmt61a
Prrg4,10116.ENSRNOP00000032611,Prrg4
Rps20,10116.ENSRNOP00000011314,Rps20
Derl3,10116.ENSRNOP00000029737,Derl3
Rock2,10116.ENSRNOP00000073496,Rock2
Rhoq,10116.ENSRNOP00000020822,Rhoq
Slc43a3,10116.ENSRNOP00000071799,Slc43a3
Cnnm4,10116.ENSRNOP00000021434,Cnnm4
Ipo7,10116.ENSRNOP00000014004,Ipo7
Phlda1,10116.ENSRNOP00000005361,Phlda1
Qtrt1,10116.ENSRNOP00000010030,Qtrt1
Plac8,10116.ENSRNOP00000003012,Plac8
Il7,10116.ENSRNOP00000016091,Il7
Lypd1,10116.ENSRNOP00000004741,Lypd1
Zfp131,10116.ENSRNOP00000021608,Zfp131
Ppp2r2a,10116.ENSRNOP00000015318,Ppp2r2a
Vcl,10116.ENSRNOP00000074748,Vcl
F2rl1,10116.ENSRNOP00000058298,F2rl1
Thoc6,10116.ENSRNOP00000004672,Thoc6
Smad3,10116.ENSRNOP00000037346,Smad3
Pak1,10116.ENSRNOP00000073036,Pak1
Bcl2a1,10116.ENSRNOP00000038537,Bcl2a1
Ugdh,10116.ENSRNOP00000003691,Ugdh
Mgat2,10116.ENSRNOP00000005608,Mgat2
Nip7,10116.ENSRNOP00000027653,Nip7
Fstl3,10116.ENSRNOP00000012578,Fstl3
Psma3,10116.ENSRNOP00000010753,Psma3
Rtn4rl2,10116.ENSRNOP00000032922,Rtn4rl2
Ier3,10116.ENSRNOP00000001099,Ier3
Swap70,10116.ENSRNOP00000013276,Swap70
Iars1,10116.ENSRNOP00000019862,Iars1
Zfand5,10116.ENSRNOP00000024583,Zfand5
Nars1,10116.ENSRNOP00000024264,Nars1
Sqstm1,10116.ENSRNOP00000056021,Sqstm1
Procr,10116.ENSRNOP00000052129,Procr
Ryk,10116.ENSRNOP00000063141,Ryk
Zfp593,10116.ENSRNOP00000021937,Zfp593
Cnbp,10116.ENSRNOP00000013884,Cnbp
Ebi3,10116.ENSRNOP00000067573,Ebi3
Ets2,10116.ENSRNOP00000002247,Ets2
Serpine1,10116.ENSRNOP00000001916,Serpine1
Ltbr,10116.ENSRNOP00000026184,Ltbr
Psmd7,10116.ENSRNOP00000019104,Psmd7
Flt1,10116.ENSRNOP00000001248,Flt1
Efna1,10116.ENSRNOP00000027920,Efna1
Usp27x,10116.ENSRNOP00000062485,Usp27x
Nfyb,10116.ENSRNOP00000061405,Nfyb
Pdia4,10116.ENSRNOP00000008728,Pdia4
Plaur,10116.ENSRNOP00000063960,Plaur
Ccl3,10116.ENSRNOP00000015139,Ccl3
Gapdh,10116.ENSRNOP00000040878,Gapdh
Plekho2,10116.ENSRNOP00000039705,Plekho2
Agpat4,10116.ENSRNOP00000069883,Agpat4
Rcl1,10116.ENSRNOP00000044460,Rcl1
Hnrnpa3,10116.ENSRNOP00000069876,Hnrnpa3
Peak1,10116.ENSRNOP00000061695,Peak1
Dusp10,10116.ENSRNOP00000005400,Dusp10
Ptrh1,10116.ENSRNOP00000057009,Ptrh1
Eif6,10116.ENSRNOP00000071658,Eif6
Plscr1,10116.ENSRNOP00000053569,Plscr1
Rrp9,10116.ENSRNOP00000017469,Rrp9
Lrrfip2,10116.ENSRNOP00000052912,Lrrfip2
Wdr90,10116.ENSRNOP00000027121,Wdr90
Abl2,10116.ENSRNOP00000056281,Abl2
Btg3,10116.ENSRNOP00000002121,Btg3
Tgif1,10116.ENSRNOP00000021534,Tgif1
