"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-RNO-1250347","SHC1 events in ERBB4 signaling",10,0.550978941374889,1.32527999306003,0.166990291262136,0.255089491123233,0.11456934487928,2335,"tags=60%, list=13%, signal=52%","24525/24605/25433/293621/85385/59325",0.149207542435322
"R-RNO-1852241","Organelle biogenesis and maintenance",149,-0.30406593331052,-1.32333944530173,0.0464456925111464,0.0908527382135975,0.040805047090678,3253,"tags=31%, list=18%, signal=26%","499814/363544/300677/171082/309156/500377/296618/288702/116654/316102/246150/266809/94271/65262/373066/309451/245709/29885/65209/245958/24399/100362431/29754/171375/171374/300963/503018/312651/362142/192241/113948/361727/295106/362749/314393/117103/308923/306840/361596/296136/100362124/305349/116475/300675/690441/245965",0.321775918075361
"R-RNO-5673000","RAF activation",32,0.404511875330205,1.32224874890303,0.114119922630561,0.188059358032677,0.0844638379783862,4068,"tags=41%, list=22%, signal=32%","24514/24525/24605/293621/25400/170851/83805/171140/24246/50663/24242/363193/24673",0.183023938384487
"R-RNO-5218920","VEGFR2 mediated vascular permeability",24,0.440239748488558,1.32002901633394,0.116370808678501,0.190848126232742,0.0857163683915158,3464,"tags=42%, list=19%, signal=34%","29431/246273/299331/24185/363875/24600/29414/29432/50663/24242",0.183023938384487
"R-RNO-1169408","ISG15 antiviral mechanism",15,0.484124696774913,1.31798128935729,0.145454545454545,0.226926802269268,0.101920525840008,5409,"tags=60%, list=29%, signal=42%","287436/306204/117045/295704/298693/54287/25489/114558/303831",0.16440575583821
"R-RNO-5576891","Cardiac conduction",91,-0.329529303701063,-1.31351474943416,0.0670731707317073,0.121038732394366,0.0543626011968551,3247,"tags=26%, list=18%, signal=22%","361618/83535/24244/56817/65199/29712/246150/289596/29600/24211/84020/81678/65023/29599/58950/259243/686019/25391/24590/29639/63847/29715/116600/25262",0.248911114434702
"R-RNO-200425","Carnitine metabolism",11,-0.537252371427094,-1.31337820545392,0.133874239350913,0.213740023885803,0.0959978962804392,2753,"tags=55%, list=15%, signal=46%","116719/25756/25682/29726/78975/373545",0.172324344900946
"R-RNO-9013026","RHOB GTPase cycle",36,0.392846077347361,1.31100488625646,0.101960784313725,0.171327547412408,0.076949014169034,4956,"tags=50%, list=27%, signal=37%","78967/25537/25513/54308/307098/64665/290396/310635/29275/83764/310621/310074/361921/308516/64373/287537/307459/311647",0.195789002148949
"R-RNO-9696264","RND3 GTPase cycle",23,0.436069959451148,1.30770846839558,0.134538152610442,0.214465950895339,0.0963239347289321,5152,"tags=43%, list=28%, signal=31%","366492/140922/25513/295588/83764/287543/310074/362938/361029/315829",0.170932335370056
"R-RNO-2022377","Metabolism of Angiotensinogen to Angiotensins",13,-0.504655807772835,-1.30546636808253,0.162162162162162,0.249573898222547,0.112092104980177,3449,"tags=46%, list=19%, signal=38%","302668/302526/24179/24310/64017/24590",0.151148761385484
"R-RNO-5654733","Negative regulation of FGFR4 signaling",27,0.418457703409157,1.3046988440982,0.13953488372093,0.22037481635432,0.0989778066765154,4414,"tags=37%, list=24%, signal=28%","306141/100912032/54250/83805/192255/25622/116590/50522/24673/81504",0.16440575583821
"R-RNO-6811442","Intra-Golgi and retrograde Golgi-to-ER traffic",128,0.308010296534688,1.30366942927341,0.0414583962929779,0.0820364019310856,0.036845331354545,4347,"tags=34%, list=24%, signal=26%","498736/291081/305012/312689/307351/79120/246118/300218/310710/296554/84599/691149/117051/361207/306809/500929/83572/64158/316531/84392/293502/60384/81655/294010/58945/298584/304290/303575/309922/84393/64189/307039/353302/171041/140932/84428/64351/362466/315131/140940/309523/65165/171291",0.321775918075361
"R-RNO-2168880","Scavenging of heme from plasma",11,0.532572225415663,1.30240245598368,0.149312377210216,0.232591469058467,0.104464719880069,5422,"tags=64%, list=29%, signal=45%","24440/58917/503164/25632/24186/299858/312701",0.159646701919906
"R-RNO-5654708","Downstream signaling of activated FGFR3",23,0.434092819308002,1.30177932135768,0.13855421686747,0.219163691804254,0.0984338495512837,1457,"tags=26%, list=8%, signal=24%","25513/24525/24605/54250/293621/85385",0.16823816568964
"R-RNO-5654716","Downstream signaling of activated FGFR4",24,0.43356505968601,1.30001541482564,0.136094674556213,0.216274482821889,0.0971362077751707,1457,"tags=25%, list=8%, signal=23%","25513/24525/24605/54250/293621/85385",0.16823816568964
"R-RNO-9840309","Glycosphingolipid biosynthesis",14,0.484566400772189,1.29888259455059,0.166037735849057,0.254392644611783,0.114256367469091,1213,"tags=29%, list=7%, signal=27%","310508/83626/65196/300129",0.147331213699377
"R-RNO-139853","Elevation of cytosolic Ca2+ levels",11,-0.530710991542035,-1.29738701354571,0.154158215010142,0.239775675850373,0.107691390888748,1907,"tags=27%, list=10%, signal=24%","81678/81739/25262",0.159646701919906
"R-RNO-388841","Costimulation by the CD28 family",50,0.356238612734573,1.29619442749405,0.0885311871227364,0.152000781910896,0.0682687080835357,4414,"tags=42%, list=24%, signal=32%","29431/25150/246273/25513/81515/116596/83805/366962/24185/363875/360640/29414/29432/64465/499342/25622/363193/24673/313050/315707/81504",0.213927855492356
"R-RNO-432142","Platelet sensitization by LDL",14,0.48284559528871,1.29426996708088,0.167924528301887,0.255754296447896,0.114867931505423,4068,"tags=43%, list=22%, signal=33%","362558/54225/79113/25622/363193/24673",0.14641623786055
"R-RNO-392154","Nitric oxide stimulates guanylate cyclase",12,-0.502937782864506,-1.29210828684087,0.161885245901639,0.249522371502527,0.11206896258207,4474,"tags=67%, list=24%, signal=51%","25523/308899/24598/140928/191569/29691/81743/25262",0.156312403073186
"R-RNO-8982491","Glycogen metabolism",11,-0.528482561311963,-1.2919393471375,0.158215010141988,0.244970370688123,0.110024504580685,3159,"tags=36%, list=17%, signal=30%","24244/367562/362029/690987",0.157402899305283
"R-RNO-1660516","Synthesis of PIPs at the early endosome membrane",14,-0.487222987654254,-1.28734632608264,0.165254237288136,0.253571247335837,0.113887450084935,4151,"tags=50%, list=22%, signal=39%","361632/316457/65052/114554/363131/288762/309855",0.157402899305283
"R-RNO-8876725","Protein methylation",14,0.47982192669119,1.28616500869592,0.177358490566038,0.268526518212982,0.120604369623024,3464,"tags=57%, list=19%, signal=46%","171361/89820/83789/24468/29565/316976/50663/24242",0.142056643575821
"R-RNO-5628897","TP53 Regulates Metabolic Genes",56,-0.354780284283329,-1.28525294268362,0.106299212598425,0.177453897253071,0.0797005657310192,2928,"tags=29%, list=16%, signal=24%","681024/297960/303393/295357/171335/54322/362045/25282/78975/94194/373545/113898/360776/292804/688869/294518",0.191892240384838
