Gene,Degree,Betweenness,Closeness,Eigenvector
Eif5a,165,0.0019063687722810374,0.40984174053727535,0.05612803953215773
Exo1,165,0.002516653861570715,0.4005767796640785,0.003985588427372989
Heatr1,165,0.0013878237297957397,0.3923291122221161,0.06267094280878746
Rpl23a,165,0.0002755689580549164,0.3898004392275501,0.06845531667051125
Utp6,165,0.0009153900213973694,0.3789682243246186,0.06560567833804738
Rrp9,164,0.0007748979742483881,0.3875739390870751,0.06367345852850123
Ncl,164,0.005583435862742388,0.42479855470560773,0.03884673814417152
mrpl24,164,0.0008608471668547516,0.38335479327091426,0.06175982498283934
Rpl10,163,0.0005182208526644133,0.397315871860472,0.061218446284766206
Mak16,163,0.0005639398862985235,0.3743783790562542,0.06413697615992449
Rpl7a,162,0.0005131420604878345,0.37938166299836695,0.07038293787676117
Utp3,162,0.0009386467819418097,0.38324917134137276,0.06316235567259931
Noc3l,162,0.002609020414147351,0.38114888817194476,0.06111798548222089
Nop2,160,0.0006715057098612237,0.3671160906264219,0.06153152519838191
Nsun6,160,0.0007586142125961015,0.3671160906264219,0.06143717657341756
Rpl34,159,0.00030861001204233557,0.3945547773035066,0.06445829797261242
Eif4a1,159,0.0017673998219352868,0.4066665304439446,0.048968734933923064
Nol10,159,0.0001842336254742418,0.3692111127759821,0.06350199893013854
Rpl30,158,0.00046247246055583356,0.3957333904362767,0.06338023252888558
Ngdn,158,0.0010291913939650182,0.37277311198807783,0.06082997378816611
Wdr75,158,0.0008086041710921635,0.3746304517596317,0.061920413173668025
Pcna,158,0.004555714379790608,0.4145441416729288,0.009201519446744914
Rpf1,157,0.00024741179096267,0.37093409796893667,0.06312124376132924
Grwd1,157,0.0014164176150348242,0.3813056105766207,0.057141084801505766
Ddx56,157,0.0008685148389558167,0.37737462490057316,0.055661459248116996
Wdr74,157,0.00047746891984835535,0.3791748309618407,0.06212049658151649
Hspbp1,156,0.0014464034593358382,0.38936399366928276,0.055715699024185876
Ddx47,156,0.0009087915439011623,0.3719259003699231,0.05970480497547414
Rpl8,156,0.0004405984074843438,0.39150094775781386,0.0605536285706144
Rps2,155,0.000333938460061233,0.3852659929050028,0.0592940706430634
Eif3b,155,0.0012128221552628955,0.39355011101528153,0.04722192093353396
Rad51,155,0.0030442813094335515,0.408457749929089,0.005495249082565138
Yars1,155,0.005627565835109643,0.39988583222179463,0.036744286502447564
Lyar,155,0.000709375168354666,0.3703908580438058,0.06417554969858934
Wdr18,154,0.0014575365872958445,0.38052328474449804,0.05591512238629764
Rpl24,154,0.0004604291457999843,0.3933275462699032,0.058204352011598424
Birc5,153,0.003224089568178025,0.4092990635231757,0.0037395540327993565
Rpl19,153,0.0004962980758026831,0.40179170057293834,0.059908104582919675
Rrp1b,153,0.0003914255522301603,0.37533806459350044,0.06128281453396867
Eif5a2,152,0.0009795867277097837,0.3960714314873327,0.05445634670574016
Aatf,152,0.0013373070708077286,0.3878441007621672,0.06139020525207589
Cct7,151,0.003954687656377541,0.40863774012441617,0.028818661612620283
Notch1,151,0.005902483534464671,0.4175305019911489,0.00373168513503487
Rcl1,149,0.00019577352657637937,0.37589592416795364,0.06116369090395737
Ddx10,149,0.001766581672748544,0.3801073554812167,0.048508990257048364
Rpl27a,148,0.0006185887396672292,0.3851059987219027,0.0602052149929223
Cdc45,147,0.0009043212795632302,0.37645544448809537,0.0029476069129572608
Rps21,147,0.00025182512515356813,0.3837249289333828,0.05712935912287308
Cdkn1a,147,0.0023610157751979876,0.4269499286014465,0.006188617019974794
Rela,147,0.004218173416211304,0.4217077057400372,0.005922603254964781
Rrp1,146,0.00026406937854859,0.3722244761529335,0.05914244091362652
Mad2l1,146,0.0020552734307948484,0.38990970354127896,0.003964832674734477
Casp8,146,0.007000263364521131,0.42479855470560773,0.018593631191651007
Rpl22l1,146,0.00015344431995681232,0.37855568577589127,0.061120166080012035
Cct2,146,0.002982742206562865,0.4030724043417886,0.02867181463873144
Eif3i,146,0.0004506572588778327,0.397315871860472,0.05139676424741245
Vcam1,145,0.0014288277228879929,0.40518580465584403,0.003496430500504536
Mcm4,145,0.0015402003790602975,0.4041263414827172,0.004554209635519131
Emg1,144,0.0011598640482033253,0.38172416777813184,0.05708505190463244
Aurkb,144,0.0021370991394105833,0.39788411538429996,0.0037670208627459396
Myd88,144,0.005336025209217602,0.41510082583811175,0.004047812956439959
Rps25,144,0.00024979797496269983,0.3873041535245754,0.056247647490520865
Rpl9,144,0.0006683664624727724,0.379071499491351,0.05938173888948014
Eef1a1,144,0.0015717115595075058,0.417655867702601,0.04704303905896565
Utp15,143,0.0012564077030634052,0.3870885953481321,0.057659137978406876
Gnl1,142,0.001179596103173882,0.36692241292100036,0.05732190691189412
Orc1,142,0.0013545515713889495,0.3908409293013522,0.005416131934678261
Sdad1,141,0.00046125352956808313,0.3645185711172727,0.05517263504402502
Cav1,141,0.006930032647589354,0.40738112970669577,0.0028399999213850466
Cebpz,141,0.000580204595495944,0.364614119890829,0.052742896164274904
Rps20,139,0.00012071941726620071,0.37984786110964297,0.05620875805769273
Riok2,139,0.0008416791126545245,0.37860720396938286,0.05836104618350078
