"ProbeID","GeneSymbol","logFC","P.Value","adj.P.Val"
"10757599","Ywhag",450.01955,2.02268925541396e-05,0.00367023875202878
"10739223",NA,156.7901,2.09527245797089e-05,0.00371553229810786
"10781564",NA,193.9871,2.09734527681153e-05,0.00371553229810786
"10796432","Rpp38",99.64745,2.098524095255e-05,0.00371553229810786
"10759989","Medag",328.70829,2.15162845448824e-05,0.00371938897452186
"10879453","Smap2",174.4129,2.16707320379361e-05,0.0037218047418257
"10704819","Ppp1r13l",127.57761,2.28668049234941e-05,0.00386144993661825
"10939428",NA,43.7805,2.42083089221706e-05,0.00397315470141738
"10774171","Upp1",277.6907,2.44483103963649e-05,0.00399012815597433
"10700806",NA,174.9622,2.5779491439033e-05,0.0040379895025069
"10766797","Irf6",282.7221,2.59065225892698e-05,0.0040379895025069
"10852716",NA,108.7206,2.62014488408753e-05,0.0040379895025069
"10804560",NA,254.30575,2.64281306222556e-05,0.0040379895025069
"10813117","Eif1",356.62055,2.66315541756936e-05,0.0040379895025069
"10813124",NA,356.62055,2.66315541756936e-05,0.0040379895025069
"10845587","Itgb6",431.7994,2.70700345522556e-05,0.0040379895025069
"10914799","Birc3",80.727225,2.70913241080082e-05,0.0040379895025069
"10895310","Ppp1r12a",135.1552,2.84924733770334e-05,0.00422527470678504
"10709951","Mical2",164.82047,2.93784277173523e-05,0.00432608159988222
"10727084","Cars1",211.6353,2.95127614921343e-05,0.00432608159988222
"10710409",NA,707.435,2.98522227549039e-05,0.00432608159988222
"10774369","Sertad2",120.2097,3.13083050789127e-05,0.00441833585989745
"10708896","Lrrc32",164.703,3.23634510697585e-05,0.00452376009354988
"10894159",NA,63.83256,3.31294463276095e-05,0.00460877926197516
"10851952","B4galt5",471.162,3.40081727354389e-05,0.00464726248257182
"10889965","Baz1a",129.6559,3.49149910400454e-05,0.00467486761396211
"10778080",NA,121.06996,3.50447048489663e-05,0.00467486761396211
"10861395",NA,415.90465,3.58854735383254e-05,0.004765264654312
"10739915","Pgs1",159.7758,3.62474291769542e-05,0.00479154930305674
"10720424","Spred3",42.701665,3.65115409307461e-05,0.00480472142680548
"10901166","Angptl4",362.05595,3.67309368372529e-05,0.00481191743840138
"10933967",NA,48.050275,3.85671808430683e-05,0.00496344326497532
"10850970","Eif2s2",248.648,3.93305691173207e-05,0.00503456687565095
"10855599",NA,48.96476,3.9589430723913e-05,0.00503456687565095
"10757056","Micall2",58.330485,4.02050442518992e-05,0.00503456687565095
"10890535",NA,60.89974,4.10358055125409e-05,0.00503456687565095
"10781954",NA,41.94937,4.11790951499249e-05,0.00503456687565095
"10800783",NA,70.4886,4.13601714984675e-05,0.00503456687565095
"10731493","Litaf",588.5273,4.3072094009304e-05,0.00517822285756299
"10790536",NA,50.27639,4.37032704291852e-05,0.00521322077569759
"10749839","Vgll3",260.16057,4.3720103034364e-05,0.00521322077569759
"10879761","Map7d1",112.3103,4.40383313139254e-05,0.00522982036993909
"10819998",NA,168.54251,4.51101598182979e-05,0.0053055095573433
"10825702","Cttnbp2nl",142.3798,4.57328364469402e-05,0.00532286487633829
"10930564","Tpm1",1549.2428,4.6385178764742e-05,0.00534341774633551
"10897760","Atf4",912.7704,4.71940676181991e-05,0.00534341774633551
"10757119","Prkar1b",65.03806,4.73726705107448e-05,0.00534341774633551
"10887359","Trmt61a",59.996245,4.76166296354446e-05,0.00534861705662096
"10812214",NA,143.81499,4.7968017691336e-05,0.00534861705662096
"10718777",NA,161.44225,4.88273209674677e-05,0.0054237313868578
"10847957","Prrg4",253.85925,4.94670209729681e-05,0.00543340457452825
"10761253",NA,530.82325,4.94705463841873e-05,0.00543340457452825
"10788666","Rps20",1283.131,5.00863576167903e-05,0.00547546673985989
"10821769",NA,177.61175,5.2456491378302e-05,0.00567579236713228
"10832487","Derl3",40.472283,5.49961473856554e-05,0.00590682885928139
"10804177",NA,68.24132,5.59727186570537e-05,0.00598969598112515
"10804402",NA,122.1915,5.70374293018075e-05,0.00601647688322534
"10863373",NA,39.84447,5.70484578592874e-05,0.00601647688322534
"10743783",NA,240.35875,5.71078129491623e-05,0.00601647688322534
"10883726","Rock2",217.7547,5.77355447561905e-05,0.00601647688322534
"10707386","Rhoq",146.49145,5.84221979383348e-05,0.00601647688322534
"10911346",NA,124.98712,5.87405695802644e-05,0.00601647688322534
"10938209",NA,128.0147,5.87473746295921e-05,0.00601647688322534
"10837366","Slc43a3",284.3747,5.89343917956228e-05,0.00601647688322534
"10929725","Arl4c",55.907925,5.95779867196643e-05,0.00602376474975199
"10818894",NA,60.13486,6.00291812967289e-05,0.00602376474975199
"10904559",NA,89.97291,6.02617343851419e-05,0.00602376474975199
"10922553","Cnnm4",116.8579,6.04256410383051e-05,0.00602376474975199
"10812645",NA,56.42529,6.06211691800879e-05,0.00602376474975199
"10709799","Ipo7",437.0549,6.14924746096755e-05,0.00604185011951252
"10845378",NA,62.78741,6.17253354127685e-05,0.00604185011951252
"10895406","Phlda1",485.11775,6.17851900989979e-05,0.00604185011951252
"10908414","Qtrt1",42.22911,6.18372419296996e-05,0.00604185011951252
"10771406","Plac8",341.2355,6.21782046954908e-05,0.00604306914811987
"10731416",NA,56.946465,6.22634289581735e-05,0.00604306914811987
"10814365","Il7",40.692775,6.51749652688464e-05,0.00626322840580289
"10767243","Lypd1",98.59198,6.6061302401028e-05,0.00632046790140542
"10821587","Zfp131",57.4997500000001,6.68161444774768e-05,0.00633755469079548
"10784702","Ppp2r2a",227.95895,6.82701590764871e-05,0.00645451270958089
"10782247","Vcl",565.05515,6.90215009589273e-05,0.00650449719036807
"10880122",NA,63.3759,6.96548719632051e-05,0.00654307855155329
"10812148","Rn5-8s",476.0611,7.0219781532219e-05,0.00654896654379524
"10820577","F2rl1",247.30111,7.02940549989291e-05,0.00654896654379524
"10740853","Thoc6",108.70985,7.08904919045229e-05,0.0065537811091732
"10918169","Smad3",79.89975,7.26947387464229e-05,0.00665737961673354
"10937523",NA,264.8,7.31819526093981e-05,0.00666126354442563
"10717801",NA,48.11742,7.32697414600935e-05,0.00666126354442563
"10708834","Pak1",151.3182,7.36722653994145e-05,0.00666334848723993
"10912112","Bcl2a1",63.4563,7.43662059066466e-05,0.00668472104417469
