"logFC","AveExpr","t","P.Value","adj.P.Val","B","ProbeID","GeneSymbol"
574.87705,642.818111111111,4.14890409995439,0.00334864597815451,0.0364212001510819,-3.8739080110416,"10850131","Pcna"
73.272495,99.8136333333333,4.14641497142531,0.00335996961910658,0.0364764594769898,-3.87427045748036,"10798841","Rpl27al1"
30.26424,63.8407333333333,4.14557746950544,0.00336378891108129,0.0364908018003449,-3.8743924863895,"10831582","Tap2"
67.3280000000001,249.603555555556,4.14522693398765,0.00336538886368271,0.0364946066308933,-3.87444357323506,"10854558","Trim24"
823.7765,1592.85888888889,4.14232161062816,0.00337868134640036,0.0365844317471238,-3.87486726106404,"10889455","Rps7"
67.4411000000001,651.286222222222,4.1411850187842,0.00338389692439718,0.0366074914606534,-3.87503314208544,"10769236","Suco"
15.226971,23.5405966666667,4.1393361311281,0.00339239966584692,0.0366514659164393,-3.87530313620816,"10882006","Kcnab2"
56.59995,150.319333333333,4.13837586067999,0.00339682490093638,0.0366857089301129,-3.8754434415128,"10783145","Klhl33"
19.33358,48.5576222222222,4.13562869289244,0.00340951920404583,0.036805596394818,-3.87584511962176,"10833969","RT1-CE16"
59.575395,46.6567833333333,4.13507827302541,0.00341206877880648,0.036805596394818,-3.87592565096478,"10729771","Ankrd22"
64.21575,116.887833333333,4.13188579110084,0.00342689719598403,0.0368877578052607,-3.87639307894093,"10781321","Tnfrsf10b"
157.68635,557.575222222222,4.13111729254571,0.00343047709670953,0.0369052527642396,-3.87650568532984,"10849863","Snrpb"
22.454975,30.7440888888889,4.12911134596459,0.00343984045216025,0.0369406900173637,-3.87679977048737,"10777512","Hmx1"
114.36913,168.627844444444,4.12667104927241,0.0034512684955925,0.0370075988342734,-3.87715784298952,"10755013","Il1rap"
923.79245,1100.12122222222,4.12585754013604,0.00345508731075351,0.0370075988342734,-3.87727728713701,"10893361","Npm1"
487.83575,488.272888888889,4.12544086164796,0.00345704507066866,0.0370075988342734,-3.87733848089873,"10719900","Axl"
285.17355,416.28,4.12453877873883,0.00346128760400321,0.0370075988342734,-3.87747099546499,"10736917","Ddx52"
453.5181,1168.463,4.12411583649275,0.00346327865462128,0.0370075988342734,-3.87753314098799,"10723697","Rpl21"
350.83065,555.467333333333,4.1235891393079,0.0034657598731716,0.0370075988342734,-3.87761054612277,"10796858","Nsun2"
213.87845,454.227888888889,4.12232132588876,0.00347174029228827,0.037042885646059,-3.87779693297797,"10817573","Rbm8a"
280.9014,552.043666666667,4.1198317048495,0.0034835165678682,0.0371414062093801,-3.87816321000782,"10924151","Atic"
506.9867,1130.05822222222,4.11954796899379,0.00348486141597605,0.0371421894951931,-3.87820497613754,"10845607","Rbms1"
91.6264,140.111944444444,4.11901052684312,0.00348741031529633,0.037144047135216,-3.87828410062308,"10749117","Trim47"
457.584,1470.27666666667,4.11839138648669,0.003490349176043,0.0371600075907143,-3.87837527350816,"10744756","Emc6"
35.9059,209.094777777778,4.11763403861974,0.00349394770014563,0.0371847679825335,-3.87848682822047,"10881619","Ubiad1"
555.1285,1726.57777777778,4.11585334935479,0.00350242440327726,0.0372286853958124,-3.8787492466963,"10754136","Rpl9"
171.53995,632.691777777778,4.11576638396794,0.00350283895720688,0.0372286853958124,-3.87876206734432,"10753567","Cldnd1"
91.4087500000001,252.776111111111,4.11569660258682,0.00350317163528063,0.0372286853958124,-3.87877235499728,"10797631","Nol8"
30.59804,30.2403888888889,4.11282633966594,0.00351688502467195,0.037335475797413,-3.87919575029467,"10721723","Dkkl1"
237.7591,430.832111111111,4.1127909489813,0.00351705447369346,0.037335475797413,-3.87920097375102,"10788497","Eri1"
21.27086,35.4565555555556,4.11101522451921,0.0035255678900264,0.0373715313277327,-3.87946315226251,"10930988","Ticam1"
314.6608,956.755444444444,4.10677759574568,0.0035459745282339,0.0374630373771527,-3.88008955085776,"10771465","Hnrnpdl"
113.84214,151.967366666667,4.1067098670719,0.00354630171452637,0.0374630373771527,-3.88009957074571,"10725242","Itpripl2"
14.72625,29.7887,4.10652753367064,0.00354718269973596,0.0374630373771527,-3.88012654674734,"10882227","Tas1r3"
1291.85028,667.5614,4.10588145879605,0.00355030625934966,0.0374630373771527,-3.88022214807856,"10768642","Lamc2"
71.6325000000001,224.128666666667,4.10386049462127,0.00356009614192796,0.0375197145347342,-3.88052134990111,"10749352","Jmjd6"
296.0455,948.582777777778,4.09962455218743,0.00358071042087456,0.0376961708956502,-3.88114923820963,"10815315","Eif4e"
116.1293,534.619222222222,4.09820713191565,0.00358763705771219,0.0377057613423974,-3.88135957090438,"10827029","Metap1"
18.887235,25.6179666666667,4.09513195609555,0.00360271457445044,0.037818793955442,-3.88181629741427,"10750996","Plcxd2"
95.2382000000001,352.380888888889,4.08887121802255,0.00363362259550906,0.0380202902955594,-3.88274782883172,"10762389","Med13l"
54.812865,58.7855333333333,4.08702967451504,0.00364276830373452,0.0381007195361466,-3.88302226135481,"10813253","C6"
57.829805,86.1082555555556,4.08679859858603,0.00364391765537049,0.0381007195361466,-3.88305671083431,"10874240","Klhl21"
1005.03555,1014.27266666667,4.08651993002204,0.00364530424918338,0.0381015807998723,-3.88309825966638,"10794866","Serpinb1a"
488.0206,1216.05244444444,4.08587240601545,0.00364852838601136,0.0381216410117796,-3.88319482130655,"10840732","Nsfl1c"
53.231155,106.956011111111,4.08511837257152,0.00365228673062371,0.0381472665528928,-3.8833072966364,"10706509","Fv1"
906.521499999999,2274.11444444444,4.0848217083732,0.00365376654510227,0.0381490835770614,-3.88335155753149,"10835645","Rpl12"
90.7700500000001,276.264444444444,4.08139937087074,0.003670884640702,0.03830043710481,-3.88386252207025,"10774104","Ccm2"
251.9854,546.156111111111,4.08094604141382,0.00367315861945129,0.0383040912525929,-3.88393025624345,"10852270","Lama5"
975.83045,670.156222222222,4.08080684031536,0.00367385718113799,0.0383040912525929,-3.88395105734786,"10847761","Cd44"
31.928715,50.5818,4.07712654912209,0.00369237830932818,0.0384012602095811,-3.88450141776735,"10877313","Mup4l4"
417.157,835.812111111111,4.07632068736049,0.00369644725146022,0.0384025640128588,-3.88462203318224,"10862666","Gars1"
397.24595,660.664555555556,4.07413943372056,0.00370748508372952,0.0384728001908912,-3.88494869595576,"10843357","Tubb4b"
42.163454,30.5830588888889,4.07311470593668,0.00371268280138906,0.0384876314878743,-3.8851022536449,"10760290","Nptx2"
16.08928,54.7437111111111,4.07288332795103,0.00371385750545347,0.0384876314878743,-3.88513693457294,"10801174","Pcdhb5"
98.4232999999999,194.212888888889,4.07148875845755,0.00372094621960917,0.038520100233757,-3.88534603049135,"10710513","Polr3e"
2134.797,2820.99666666667,4.06977735687952,0.00372966537093341,0.038555712719904,-3.885602785234,"10726979","Ctsd"
448.0004,1095.18688888889,4.06897764605872,0.00373374724548083,0.0385732932168205,-3.88572282099091,"10833591","Rpl7a"
3147.36168,1436.64573333333,4.06761167211631,0.00374073058313691,0.0385732932168205,-3.88592793822547,"10733017","Havcr1"
264.8603,384.538888888889,4.06686189161263,0.00374456971188139,0.0385732932168205,-3.88604057280573,"10749869","Pkn3"
424.32895,940.243444444444,4.06594657401077,0.00374926220838357,0.0385934041228084,-3.88617811925774,"10794511","Nup153"
545.6745,717.24,4.06504250288094,0.00375390327531011,0.0386013834160189,-3.88631402353341,"10821695","Rps15a"
76.7293,235.980111111111,4.06227316082384,0.00376815835123676,0.0387207098392651,-3.88673062031872,"10905335","Card10"
304.70495,1049.73822222222,4.06156552796188,0.00377181022078618,0.0387446075211137,-3.88683714237297,"10757786","Eif4h"
45.3024,135.519,4.05995208667647,0.00378015096276728,0.0387893678350134,-3.8870801275545,"10894999","Tmcc3"
379.6762,410.137777777778,4.0584761592119,0.00378779824523298,0.0388269255916619,-3.88730253599918,"10889684","Bzw2"
316.7231,611.798222222222,4.05768486585288,0.00379190507450739,0.0388369344991213,-3.88742182881975,"10726151","Mcmbp"
741.11335,731.937111111111,4.05751970705898,0.0037927628577392,0.0388369344991213,-3.88744673223228,"10936086","Flna"
20.88108,117.7384,4.05428123102638,0.00380962484152316,0.0389822697443985,-3.88793536645806,"10886842","Mir341"
129.3138,253.672,4.05373877128393,0.00381245719835749,0.0389911976366848,-3.88801727484576,"10767189","Ddx18"
15.799575,26.6362333333333,4.05175340960263,0.00382284279047176,0.0390227477497952,-3.88831720000228,"10858218","Cacna2d4"
256.62575,870.614888888889,4.05135682615705,0.00382492100487013,0.0390227477497952,-3.88837713878942,"10869661","Prrc2c"
244.34,1278.73555555556,4.05092320086742,0.0038271947238198,0.0390227477497952,-3.88844268652904,"10832865","Eloc"
441.43475,682.188222222222,4.05006260961484,0.00383171156120118,0.0390441651722816,-3.8885728079429,"10708053","Abhd2"
193.58755,313.346111111111,4.0486618675186,0.00383907569208087,0.0390590454210257,-3.88878469283841,"10909480","H2ax"
31.14232,52.3024111111111,4.04861821969401,0.00383930540712087,0.0390590454210257,-3.88879129712258,"10932623","Nudt11"
31.14232,52.3024111111111,4.04861821969401,0.00383930540712087,0.0390590454210257,-3.88879129712258,"10937236","Nudt11"
145.4207,762.189222222222,4.04849041402961,0.00383997812343787,0.0390590454210257,-3.88881063583935,"10836394","Marchf7"
79.2694000000001,359.759444444444,4.04807449236721,0.00384216824353215,0.0390590454210257,-3.88887357700268,"10758679","Mapkapk5"
63.62685,163.271,4.04800565323674,0.00384253085986266,0.0390590454210257,-3.88888399536175,"10938048","Taf5l1"
655.988500000001,2281.85444444444,4.04677811629218,0.00384900322110791,0.0390870588748653,-3.88906982176289,"10780979","Rpl23a"
426.6157,599.299777777778,4.04507217115544,0.00385801758360156,0.0391369178963847,-3.88932821688365,"10874691","Rps15a"
38.58545,132.549888888889,4.0440950737091,0.00386319090171619,0.0391369178963847,-3.88947629213335,"10790229","Mettl6"
194.0036,444.114222222222,4.04385210147595,0.00386447849786357,0.0391369178963847,-3.88951312230215,"10940497","U2af1"
21.038855,32.1242222222222,4.04376729004628,0.00386492805268261,0.0391369178963847,-3.88952597898638,"10765173","Sele"
1926.5825,2054.97888888889,4.042980539504,0.00386910102225484,0.0391542914325918,-3.88964526371419,"10892184","Hsp90aa1"
17.60995,41.8438444444444,4.04268599874363,0.0038706645326667,0.0391542914325918,-3.88968993042839,"10940009","LOC102547275"
744.81235,826.926111111111,4.04112037074376,0.00387898679568037,0.0391977586471831,-3.88992744125226,"10752334","Ranbp1"
28.56323,77.4520888888889,4.03961444703203,0.00388700989818059,0.0392652514403347,-3.89015603046687,"10783933","Adcy4"
314.07685,491.305111111111,4.03891269478772,0.0038907547293795,0.0392722480419063,-3.89026259727354,"10923857","Eef1b2"
