"logFC","AveExpr","t","P.Value","adj.P.Val","B","ProbeID"
50.66744,39.2970222222222,9.72359081648771,1.19175365594805e-05,0.00278132935056013,-3.52878144458255,"10733849"
171.51545,387.636888888889,9.70782193455716,1.20597375136637e-05,0.00278132935056013,-3.52913057942507,"10908106"
102.6455,324.772222222222,9.70632303466795,1.20733527577321e-05,0.00278132935056013,-3.52916384425872,"10760144"
262.64155,565.086777777778,9.70437421364905,1.20910805614136e-05,0.00278132935056013,-3.52920711442814,"10801960"
-185.7259,619.378555555556,-9.63281931120567,1.27625903735392e-05,0.00291286183728573,-3.53081190616246,"10914580"
-638.58325,890.197222222222,-9.58189585686493,1.32658765416828e-05,0.00300425827355598,-3.53197328838714,"10918055"
-184.704,553.625333333333,-9.53152323633419,1.37856425587267e-05,0.00308434101842237,-3.53313822171329,"10841301"
962.463499999999,2321.12555555556,9.52726137623252,1.38306522014558e-05,0.00308434101842237,-3.53323752735708,"10921850"
-83.5534499999999,167.145333333333,-9.5003170786334,1.41190423371837e-05,0.00310287816008316,-3.53386807119924,"10897698"
-487.3335,469.875333333333,-9.49645742104889,1.41609006618364e-05,0.00310287816008316,-3.53395877938369,"10766588"
-259.65125,552.102444444444,-9.48558591574413,1.42795505160809e-05,0.00310287816008316,-3.53421479904761,"10894395"
36.885345,46.5072666666667,9.48021081415466,1.43386236602734e-05,0.00310287816008316,-3.53434166574466,"10809303"
428.0163,914.145666666667,9.46240735428707,1.45362453673194e-05,0.00310681130039975,-3.53476322778133,"10839168"
-180.89745,901.764333333333,-9.45943877689155,1.45694923035109e-05,0.00310681130039975,-3.53483372251946,"10757507"
-322.39225,944.530555555556,-9.44288717900586,1.47564288557474e-05,0.0031238718303754,-3.53522784028184,"10701500"
-193.7211,621.684333333333,-9.42119427638135,1.50055035578357e-05,0.00314931383671846,-3.53574713425805,"10889113"
60.364875,57.0855333333333,9.41373659991405,1.50922139091047e-05,0.00314931383671846,-3.53592638494928,"10736863"
695.7288,1234.969,9.37513120583434,1.55501254487235e-05,0.00322185365148233,-3.53686027758896,"10923470"
-79.0617999999999,266.050222222222,-9.30305242510001,1.644722814419e-05,0.00338372762679132,-3.53863114353487,"10859438"
135.68635,297.633444444444,9.2733801095713,1.68332172496274e-05,0.00339608030459517,-3.53937062575809,"10801481"
208.8765,509.711,9.26150223341142,1.69905571145471e-05,0.00339608030459517,-3.53966837804042,"10918706"
363.1694,245.526722222222,9.25655693300551,1.70565487159087e-05,0.00339608030459517,-3.53979264020792,"10870316"
-135.65445,310.414333333333,-9.25583835386886,1.70661614598555e-05,0.00339608030459517,-3.53981071060866,"10769517"
-149.08365,381.33,-9.24593371499303,1.71992785938539e-05,0.00339608030459517,-3.5400601603223,"10744506"
-88.8198,164.905933333333,-9.24552763896339,1.72047609050484e-05,0.00339608030459517,-3.54007040229591,"10836083"
-257.36295,323.105666666667,-9.23595259784759,1.73345980723902e-05,0.00339874461803226,-3.54031224292771,"10799435"
-83.3248,263.789555555556,-9.21200120277304,1.76641980208632e-05,0.00343728202278101,-3.54092006758918,"10832927"
-50.59765,278.753555555556,-9.19440520606669,1.79108013549085e-05,0.00343728202278101,-3.54136924201938,"10804875"
-126.83125,351.610555555556,-9.18600318782286,1.80299081299752e-05,0.00343728202278101,-3.54158451261126,"10870667"
-92.3561499999999,208.421222222222,-9.18196830732844,1.80874207282465e-05,0.00343728202278101,-3.54168807399115,"10907784"
111.0021,170.711666666667,9.17972788720764,1.81194438114697e-05,0.00343728202278101,-3.54174562902659,"10833643"
-93.1872,230.457666666667,-9.1437434997244,1.86425552389903e-05,0.00351370070162493,-3.54267508358277,"10887555"
-793.2975,1716.64333333333,-9.1266668108634,1.88966870912937e-05,0.00353876805567343,-3.54311950468043,"10709157"
172.63753,110.466011111111,9.10568124846924,1.9214304109845e-05,0.00356632720826034,-3.54366862580843,"10773853"
33.013965,84.4218333333333,9.10086723124882,1.92880022901737e-05,0.00356632720826034,-3.54379505680316,"10827691"
381.24943,252.800011111111,9.08976788917189,1.94591290509582e-05,0.00357533959807983,-3.54408722337929,"10863512"
-79.11085,101.081222222222,-9.05907127033353,1.99412966472332e-05,0.00364103150157669,-3.54490009355813,"10726346"
